country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brunei,0.02,0.02,0.07,0.06,0.06,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
Bulgaria,0.13,0.17,0.24,0.19,0.18,0.15,0.15,0.16,0.15,0.16,0.17,0.17,0.15,0.16,0.16,0.15,0.15,0.19,0.23,0.32,0.42,0.26,0.22,0.19,0.17,0.16,0.14
Burkina Faso,6120,6120,6070,5970,5870,6050,5830,5710,5490,4140,1620,1210,221,180,283,157,240,536,208,276,147,151,120,231,338,127,131
Burundi,4870,4790,4720,4650,4560,4360,4140,3880,3450,2990,2440,1900,321,38.4,24.9,34.2,72.7,126,225,227,107,82.6,105,42.1,53.5,101,160
Cambodia,2510,2510,2510,2480,2440,2340,2260,2150,2010,1810,1570,1250,351,97,32,29.5,58.2,167,164,213,232,253,69,67.7,11.8,8.46,11.3
Cameroon,5110,5210,5320,5450,5560,5760,5590,5830,5840,5600,5150,4540,821,125,102,162,467,1330,1610,1720,869,941,1400,885,1030,1470,312
Canada,0.13,0.13,0.12,0.14,0.11,0.1,0.09,0.09,0.08,0.09,0.11,0.1,0.1,0.09,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cape Verde,44.6,43.5,45.4,49.9,57.1,67.4,74.5,75.2,72,69.7,65.9,61.3,58,54.5,50.9,48,27.3,23.5,22.6,22.8,5.37,5.28,5.15,5.25,1.21,1,1
Central African Republic,3250,3190,3190,3270,3400,3480,3660,3760,3800,3400,3230,3140,3030,2970,2890,2700,742,332,344,232,410,1070,1010,1420,1180,1220,1600
Chad,4380,4400,4490,4620,4820,5070,5590,6150,6610,7070,7330,7580,7470,7650,7280,7340,4970,2910,2740,2180,1900,2620,3210,2710,3290,1990,1990
Chile,0.56,0.32,0.28,0.13,0.09,0.07,0.07,0.1,0.12,0.1,0.09,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06
China,12600,10700,8990,7430,6070,5460,4340,3610,3120,2760,2300,1910,1470,1140,891,640,409,289,179,84.6,25.3,6.59,5.55,7.73,14.3,28.1,38.8
Colombia,62.4,44.9,33.2,23.3,11.9,7.84,5.24,3.58,2.58,1.68,1.41,1.22,1.1,1.04,1.03,1,0.94,0.87,0.8,0.75,0.72,0.71,0.69,0.63,0.57,0.51,0.47
Comoros,278,272,266,259,252,231,224,204,184,163,145,135,121,115,105,101,48.3,11.8,1.98,2.14,4.14,7.23,20.6,40.9,20.3,21.1,28.5
"Congo, Dem. Rep.",18200,18400,18700,19100,19600,19300,20000,17000,15400,15000,11800,9330,9670,6170,6060,3660,2140,1270,1260,1620,3000,5150,4510,3620,2080,853,906
"Congo, Rep.",1210,1270,1360,1460,1580,1620,1720,1770,1720,1660,1570,1370,1200,1050,922,182,133,153,92.9,152,306,159,143,197,95.2,102,141
Costa Rica,0.11,0.27,0.26,0.15,0.09,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Cote d'Ivoire,5460,5480,5620,5790,5990,5900,5820,5740,5460,5190,4820,4420,4070,3770,2800,2640,534,415,519,321,521,1180,400,484,792,198,262
Croatia,0.07,0.06,0.07,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
Cuba,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.07,0.08,0.07,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.05,0.06,0.07,0.07,0.07,0.06,0.07,0.06,0.06
Cyprus,0,0,0.02,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0
Czech Republic,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Denmark,0.62,0.52,0.38,0.23,0.1,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Djibouti,332,344,359,384,399,414,434,426,420,398,383,366,344,206,108,93.3,30.6,31.4,45.5,20.8,25.9,29.7,36.9,28.6,41.8,43.5,10.5
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,40.4,81.4,77.5,44.3,0.03,0.07,0,0.01,0.09,1.58,1.34,0.57,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
Ecuador,131,103,80.2,50,28.2,14.7,7.61,3.45,1.54,0.94,0.66,0.5,0.37,0.25,0.21,0.17,0.17,0.2,0.22,0.22,0.23,0.24,0.23,0.21,0.19,0.18,0.17
Egypt,6300,5260,4270,3390,2680,2370,1900,1600,1470,244,213,92.8,73.7,53.6,55.9,68.4,90.8,101,118,23.1,3.57,3.15,5.26,14.1,52.4,92.7,15.4
El Salvador,0.58,0.62,17.6,1.21,0.07,0.04,0.02,0.01,0.01,0.01,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,495,489,477,463,440,476,417,348,290,253,202,167,132,108,61.8,59.6,22.9,18.4,21.2,30.2,32.5,37.5,32.8,22.1,26.4,30,29.6
Eritrea,3210,2970,2670,2350,2050,1670,1470,1250,1100,961,873,597,422,411,95.8,89.5,141,124,223,487,359,453,282,176,171,180,101
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,87.7,78.5,68,61.1,58,42.6,44.8,50.8,59.4,32.6,8.19,8.02,12.1,11.1,24.6,43.5,44.6,25.4,26.9,25.4,17.1,10.2,11.6,11.2,7.2,9.05,11.5
Ethiopia,94900,92600,89300,85400,80700,77000,72800,69100,66100,62200,51500,35800,29100,25300,20000,15200,15500,10300,10600,8180,8470,6640,5840,6870,4810,5540,6570
Fiji,66.3,62.7,59.1,57.8,56.5,54.9,53.5,52.3,12.5,9.96,10.6,15.3,26.9,25.1,25.4,25.6,25.1,11,9.72,10.2,11.4,14.9,19.8,17.5,15.6,13.8,12.5
Finland,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0
France,2.7,2.51,2.11,1.81,1.22,0.94,1.19,1.16,1.11,0.9,0.81,0.67,0.56,0.53,0.47,0.39,0.4,0.46,0.49,0.62,0.69,0.66,0.57,0.45,0.47,0.45,0.44
Gabon,138,141,150,165,183,191,207,228,226,235,248,248,248,250,257,60.7,43.2,45.3,29.2,40.5,72.3,69.3,75.9,48,20.7,18.6,21.9
Gambia,487,491,497,503,502,515,498,486,438,384,338,312,284,260,56,43.9,52.8,81.8,76.6,145,154,172,64,75.6,74.2,78.7,101
Georgia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02
Germany,1.27,1.3,1.24,1.23,1.13,1.01,0.92,0.62,0.78,0.89,0.87,0.76,0.68,0.61,0.61,0.56,0.52,0.5,0.5,0.51,0.52,0.52,0.49,0.53,0.48,0.46,0.44
Ghana,12200,11200,10200,9160,8350,7850,7200,6940,6350,5740,5090,4330,3100,533,340,374,552,313,513,606,857,545,541,594,143,159,266
Greece,0.06,0.05,0.05,0.06,0.06,0.07,0.1,0.07,0.06,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,289,147,98.4,71,54.4,38.7,27.6,24.8,20.6,15.2,10.9,6.89,5.62,3.91,2.55,1.87,1.19,0.92,0.61,0.33,0.29,0.31,0.3,0.35,0.36,0.29,0.29
Guinea,6690,6430,6220,6060,5970,5790,5970,5790,5510,5650,5560,5010,4440,3090,849,664,757,617,1080,1980,1260,1520,2060,1310,1540,1440,722
Guinea-Bissau,1060,1050,1040,1040,1050,981,1010,1010,1020,1010,558,486,502,562,682,841,834,193,143,151,104,174,324,170,182,242,147
Guyana,0.29,0.11,0.06,0.02,0.02,0.02,0.02,0.03,0.04,0.06,0.07,0.1,0.1,0.11,0.12,0.13,0.14,0.14,0.13,0.12,0.11,0.1,0.1,0.07,0.06,0.06,0.05
Haiti,95,90.6,41.5,21.7,0.02,0.05,0.04,0.05,0.11,0.02,31.6,4.8,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
Honduras,183,2.02,1.15,0.24,0.05,0.03,0.06,0.08,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0.04,0.04,0.04,0.04,0.04,0.06,0.09,0.08,0.08,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,227000,217000,207000,197000,186000,179000,171000,162000,154000,148000,140000,131000,124000,117000,109000,104000,97700,92100,86600,80100,74900,54600,40900,27400,19400,16900,17100
Indonesia,27500,25300,23400,21800,20600,19900,18600,17800,18100,18700,19100,15700,15000,13800,13200,6120,5400,4140,2550,2400,2520,2830,2620,2940,3060,3170,3320
Iran,1150,775,510,337,224,170,116,41.4,26.7,23.6,23.9,29,36.2,35.5,6.68,4.45,4.75,5.99,9.58,16.7,14.5,13.5,12.4,11.2,9.66,8.7,6.19
Iraq,1330,1230,1160,1140,1130,989,607,549,562,644,809,929,903,421,313,122,67,37,31.5,50.6,29.8,34.2,37.5,34.8,34.3,54.4,50.1
Ireland,0.06,0.04,0.04,0.05,0.03,0.04,0.03,0.04,0.03,0.04,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Israel,0.26,0.27,0.16,0.18,0.2,0.11,0.08,0.07,0.07,0.07,0.08,0.07,0.06,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.08,0.08,0.08,0.07,0.07
Italy,1.83,1.89,2.17,1.62,1.74,1.72,1.7,1.35,0.6,0.63,0.64,0.63,0.8,0.75,0.6,0.54,0.52,0.45,0.42,0.37,0.33,0.32,0.42,0.35,0.33,0.32,0.3
Jamaica,2.34,0.19,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,24.8,20.5,16.5,14.3,12.3,10.6,11.2,11.8,13,12,9.62,7.92,6.41,4.92,3.77,3.04,2.48,2.23,2.04,1.95,1.83,1.84,1.84,1.72,1.67,1.61,1.54
Jordan,67.6,62.5,58.6,56,53.5,24.6,21.1,18.1,3.24,2.13,1.16,1.24,2.15,4.37,4.88,5.67,4.1,3.38,2.91,2.59,2.59,2.44,2.3,1.8,0.31,0.23,0.29
Kazakhstan,1.94,2.27,1.65,1.28,0.72,0.28,0.19,0.16,0.28,0.35,0.21,0.41,0.37,0.37,0.2,0.29,0.22,0.14,0.09,0.08,0.09,0.15,0.11,0.16,0.19,0.22,0.18
Kenya,8850,8640,8610,8650,8630,8180,8090,8020,7550,7250,6320,5530,5250,1120,824,924,1180,926,1650,1900,1090,1490,2420,1190,1460,2170,2370
Kiribati,31.4,30.4,29.5,28.6,27.4,26,24.6,22.6,21.9,4.85,3.59,3.99,5.62,9.42,15.9,16.3,16.2,3.18,2.14,2.36,1.69,2.58,4.71,4.36,4.48,4.94,4.7
Kuwait,0.08,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02
Kyrgyz Republic,1.21,0.87,1.44,1.51,1.04,0.59,0.4,0.34,0.37,0.2,0.13,0.08,0.07,0.06,0.04,0.05,0.04,0.04,0.03,0.04,0.06,0.08,0.07,0.06,0.07,0.14,0.1
Lao,3820,3750,3650,3520,3390,3290,3180,3050,3020,3120,3070,2810,1740,1450,1370,1320,1380,1400,312,190,210,265,96.6,137,145,51.7,75.6
Latvia,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.05,0.04,0.04,0.04,0.03,0.03
Lebanon,124,104,86,70,56.5,19.1,14.3,11.6,9.91,9.58,9.76,2,1.64,2.11,3.18,6.14,10.8,9.07,6.97,1.12,0.61,0.52,0.54,0.83,0.46,0.06,0.04
Lesotho,90.2,88.1,87.3,86.6,90.3,92.1,94.6,99.1,99.5,96.3,45.3,8.14,7.22,10.7,12.4,32.7,66.5,70.2,47.5,51.9,50.9,10.8,10.3,15.9,13.3,24.4,56.4
Liberia,1870,1760,1630,1470,1330,1260,1160,998,922,831,764,699,667,703,535,102,67,76.2,46.1,38.9,82.1,56.8,52.2,102,169,242,222
Libya,99.8,87.8,78,71,66,27.3,25,23.5,21.9,20.8,19.3,16.5,13.6,11.4,9.95,8.91,1.49,0.92,1.05,1.06,0.63,1.27,0.94,1.19,1.95,2.92,2.77
Lithuania,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Luxembourg,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
Madagascar,6000,5980,5950,6260,6340,6030,5650,5350,5180,4610,4230,3870,3590,3280,3050,602,450,546,460,868,1860,1300,1530,1870,940,976,1250
Malawi,3370,3180,2940,2680,2490,2410,2370,2380,2490,511,379,415,504,417,691,694,329,376,509,265,354,110,101,168,150,233,424
Malaysia,800,709,643,586,537,508,460,436,406,383,338,301,111,97.2,88,20.4,12.1,12.4,16.1,27.1,48.5,48.5,43.9,38,32.1,25.6,20.6
Maldives,12.8,10.6,8.74,7.08,5.6,4.8,2.12,0.31,0.09,0.09,0.15,0.41,0.96,1.01,0.85,0.72,0.12,0.01,0,0,0.01,0.03,0.05,0.06,0.05,0.05,0.04
Mali,6770,6250,5750,5330,5070,5080,4630,4550,4380,3750,3100,2660,484,332,364,237,396,870,514,635,944,1070,439,435,475,586,175
Malta,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,4.14,4.05,3.91,3.74,3.59,3.47,3.47,3.51,3.31,3.29,3.21,3.06,2.6,1.41,1.11,1.1,1.18,1.32,1.56,1.47,1.48,1.42,1.41,1.39,1.28,1.11,0.99
Mauritania,457,451,446,439,432,411,208,183,107,67.4,70.3,90.6,113,189,256,63.3,51.4,56,76.4,70,124,132,41.7,38.9,53.1,12.7,14.9
Mauritius,0.01,0.02,0.02,0.04,0.04,0.05,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01
Mexico,2060,149,14.4,4.23,2.85,4.95,0.04,0.22,0.18,0.13,0.44,0.04,0.15,0.58,0.83,0.08,0.29,0.01,0.01,0,0,0.03,0,0,0.03,0,0
"Micronesia, Fed. Sts.",13.9,13,12.2,11.3,10.5,8.5,8,7.49,6.79,5.41,4.7,3.73,3.13,2.44,1.84,0.59,0.46,0.46,0.51,0.69,1.12,0.77,0.54,0.54,0.43,0.09,0.07
Moldova,0.06,0.04,0.04,0.05,0.06,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Mongolia,2.1,4.51,7.2,0.47,1.17,3.79,0.84,0.03,0.05,0.06,4.86,50,5.43,0.07,0.02,0.02,0.08,0.03,0.08,0.02,0.02,0,0,0.01,0.01,30.3,28.7
Montenegro,1,0.03,0.13,0.16,0.03,0.03,0.04,0.14,0.09,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01
Morocco,2620,2410,2190,1960,1720,1520,1270,1080,920,795,702,632,566,535,507,483,439,403,369,97,70.7,71.1,83.5,125,13.8,8.74,8.93
Mozambique,7130,6540,6050,5690,5480,5770,5800,5810,5030,4250,3680,3510,3300,3460,3440,3400,699,583,779,615,1060,2230,1280,1380,942,708,864
Myanmar,10200,9470,8800,8110,7500,7270,6570,6280,5270,5040,4910,4880,4740,3750,2420,1690,1550,1550,793,728,737,750,327,163,116,104,21.2
Namibia,152,151,152,155,161,168,178,189,46,10.9,10.7,7.79,16.3,52.1,39.8,40.5,54,23.4,25.3,34.7,20.4,22.7,32,6.67,6.23,8.89,7.18
Nepal,6950,6530,6130,5720,5280,4720,4260,3890,3460,3210,2930,2620,2310,2020,1770,451,113,94.8,123,98,214,342,407,112,120,57.7,65.4
Netherlands,0.12,0.11,0.09,0.09,0.08,0.08,0.09,0.1,0.16,0.19,0.13,0.15,0.14,0.16,0.13,0.12,0.11,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07
New Zealand,0.04,0.05,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Nicaragua,0.15,0.16,29.7,4.22,0.04,0.05,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,12800,12600,12400,12000,11700,11300,11000,10800,10600,10400,10300,9660,9080,8460,7730,1440,935,982,1230,1000,1730,929,982,282,343,523,519
Nigeria,86700,88200,89600,89700,89200,92900,90900,90600,87200,85100,84200,78500,77900,66600,61500,58300,30000,12900,10900,7190,10300,18400,17200,19700,15100,15200,10200
North Korea,530,439,360,299,249,212,179,175,179,187,174,173,159,151,145,133,115,96.8,2.43,1.52,1.5,1.86,3.27,6.05,5.5,5.03,4.77
North Macedonia,0.18,0.16,0.16,2.03,0.18,0.16,0.72,0.23,0.21,0.03,0.02,0.01,0.01,0.01,0,0,0,0,0.01,0,0.06,0.18,0,0,0.03,0,0
Norway,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
Oman,11,8.04,6.29,5.22,1.29,0.19,0.12,0.13,0.16,0.3,0.61,0.58,0.55,0.54,0.52,0.51,0.53,0.54,0.61,0.56,0.56,0.58,0.49,0.41,0.31,0.21,0.13
Pakistan,35800,37100,39200,41600,44000,45100,45800,45400,43200,40100,37400,34600,31600,29700,27800,25300,22000,20600,8630,2260,1900,1150,1310,2500,1750,1050,592
Palestine,33.9,31.5,28.7,26.7,25.4,24.6,23.8,23.5,23.6,23,21.4,19.3,16.8,14.2,12.2,10.7,9.52,8.95,8.9,9.28,9.57,9.85,10.2,10.5,10.3,9.76,9.35
Panama,1.52,0.89,0.47,0.24,0.12,0.06,0.03,0.03,0.05,0.07,0.1,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.08,0.08,0.09,0.08,0.09,0.09,0.08,0.07
Papua New Guinea,1840,1800,1800,1850,1880,1900,1820,1820,1130,863,743,835,1030,1260,1140,672,250,266,360,571,546,504,461,360,461,678,347
Paraguay,23.6,8.41,13,29.5,1.71,0.98,0.17,1.83,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,23.9,30.9,621,44.7,15.6,7.18,1.92,1.54,0.14,0.15,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0.02,0.01,0,0,0.01,0.01
Philippines,4740,4180,3940,3570,3010,2790,2820,2610,2280,2150,2160,1900,1500,1030,611,314,201,138,102,82.6,70.7,60.4,49.7,44.6,39.5,34.7,34.7
Poland,0.34,0.21,0.12,0.08,0.08,0.06,0.05,0.06,0.07,0.08,0.09,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.08,0.07,0.05,0.05,0.04,0.04
Portugal,3.74,2.37,1.54,1.62,1.7,1.57,1.53,1.21,1.17,0.94,0.7,0.38,0.22,0.17,0.15,0.17,0.15,0.11,0.11,0.09,0.08,0.06,0.06,0.05,0.03,0.03,0.03
Qatar,4.03,3.77,3.57,3.4,3.37,3.41,1.69,1.53,1.34,1.22,1.11,0.22,0.14,0.11,0.13,0.21,0.34,0.29,0.17,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.09
Romania,7.65,5.82,6.29,6.96,4.86,2.21,1.71,2.19,1.4,0.6,0.44,0.36,0.31,0.31,0.34,0.51,0.44,0.27,0.24,0.22,0.22,0.24,0.29,0.22,0.21,0.18,0.17
Russia,3.89,3.77,2.85,3.09,2.45,1.7,1.47,1.27,0.93,0.57,0.59,1.09,1.28,1.57,1.87,1.88,1.99,2.07,2.02,2.1,2.19,2.61,3.09,2.85,2.71,2.36,2.14
Rwanda,4420,4760,5250,5840,6330,6650,6150,5390,4750,4320,3450,2760,2270,1880,350,231,207,120,195,409,218,257,392,443,52,48.3,50.5
Samoa,12.2,11.2,10.4,9.42,8.72,8.12,7.83,7.24,6.79,1.53,1.17,1.36,1.92,3.72,1.59,1.05,1.13,1.5,2.76,2.42,0.91,0.77,0.9,1.3,2.26,2.87,2.72
Sao Tome and Principe,40.1,38.5,37.2,36.1,35,33.9,30.6,30.9,29.2,26.4,5.73,3.87,4.32,5.97,10.2,22.8,21.9,19.6,3.53,2.32,2.28,2.62,4.78,2.47,1.91,1.76,1.88
Saudi Arabia,422,143,114,92.2,75.4,66.4,55,45.9,38.6,27.8,23.9,18.1,17.1,17.1,17.3,15.3,14,12.2,6.97,4.84,4.7,4.13,2.38,2.46,2.15,2.03,2.24
Senegal,1800,1780,1780,1760,1720,1700,1680,1670,1610,1510,1470,1380,1340,1270,266,205,235,148,244,546,677,891,1290,1320,240,176,198
Serbia,1.73,0.33,0.69,5.41,0.26,0.17,0.14,1.34,0.25,0.07,0.01,0.01,0.01,0,0,0,0,0.03,0,0,0,0.04,0,0,0,0.04,0.03
Seychelles,0.68,0.52,0.4,0.31,0.24,0.17,0.14,0.1,0.09,0.07,0.06,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01
